"streetAddress","zipcode","description","latitude","longitude","propertyTaxRate","garageSpaces","hasAssociation","hasGarage","hasSpa","hasView","homeType","yearBuilt","latestPrice","latest_saledate","latest_salemonth","latest_saleyear","numOfPhotos","numOfAccessibilityFeatures","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","numOfWindowFeatures","numOfCommunityFeatures","lotSizeSqFt","livingAreaSqFt","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories"
"15037 Mallard Green Ln","78728","Quiet neighborhood with an awesome duck pond and jogging trail just two houses down from this one. Elementary school is a half mile away. Great restaurants and a convenience store within walking distance. Wells Branch is a fantastic neighborhood as well with two swimming pools, a gym, and a community center.",30.4492645263672,-97.6818008422852,1.98,0,"TRUE","FALSE","FALSE","TRUE","Single Family",1998,209.9,2018-05-31,"5",2018,1,"0",5,1,0,0,0,0,0,6882,2238,3.1,5.33333333333333,1348,14,2.5,3,2
"2800 Feathercrest Dr","78728","2800 Feathercrest Dr, Austin, TX 78728 is a single family home that contains 1,754 sq ft and was built in 1996. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $363,335. The Rent Zestimate for this home is $1,895/mo.",30.4487686157227,-97.6847457885742,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",1996,309.9,2020-04-03,"4",2020,1,"0",7,2,2,1,0,0,0,7971,1754,2.93333333333333,5.33333333333333,1348,14,3,3,2
"1927 Klattenhoff Dr","78728","1927 Klattenhoff Dr, Austin, TX 78728 is a single family home that contains 1,948 sq ft and was built in 1983. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $373,051. The Rent Zestimate for this home is $1,895/mo.",30.4393978118896,-97.6786193847656,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1983,299.9,2018-10-12,"10",2018,36,"0",0,1,0,0,0,0,0,8276,1948,1.13333333333333,2.66666666666667,1063,14,2,3,1
"3517 Roller Xing","78728","3517 Roller Xing, Austin, TX 78728 is a single family home that contains 2,114 sq ft and was built in 2001. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $370,179. The Rent Zestimate for this home is $1,950/mo.",30.4624824523926,-97.6822052001953,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",2001,350,2020-09-25,"9",2020,93,"0",3,2,2,2,0,0,0,4791,2114,3.13333333333333,5.66666666666667,1431,14,3,3,2
"15410 Ecorio Dr","78728","Need an additional room for an office to work from home in? Want to have some privacy with kids in the house 24/7? Well, look no further. Make your essential travel to see this renovated gem in desirable Wells Branch today. This home features:

- Quiet & safe neighborhood 
- Master Suite downstairs
- Separate Master Walk in Closets
- Spacious bedrooms
- Open Vaulted Ceiling 
- New Stainless Steel Appliances
- New Carpet and flooring
- Excellent location minutes to major highways; I-35, Mopac, Toll I-45
- Less than 10 mins to major employers like Apple, Dell, Facebook, Amazon and Tech Corridor 
- Feeds in exemplary Round Rock ISD
- Short walk to Charter Jubilee Elementary or Public Joe Lee Johnson Elementary

Tenants pay for all utilities and maintain landscaping",30.4589042663574,-97.6874237060547,1.98,0,"FALSE","FALSE","FALSE","TRUE","Single Family",1993,285,2020-03-03,"3",2020,26,"0",6,3,0,0,0,0,0,6316,2174,2.9,5.66666666666667,1431,14,2.5,4,2
"15405 Ozone Pl","78728","Spacious two story house in great neighborhood. Open floor plan with spacious family and dining rooms. Upstairs with game room. Spacious yard with shade front and back. See pictures! Agents see attachment for Evergreen Lease Guidelines.",30.4589595794678,-97.6878128051758,1.98,2,"FALSE","TRUE","FALSE","TRUE","Single Family",1994,379,2020-09-29,"9",2020,137,"0",7,2,1,1,0,0,0,5750,2499,2.86666666666667,5.66666666666667,1431,14,3,4,2
"3121 Wavecrest Blvd","78728","3121 Wavecrest Blvd, Austin, TX 78728 is a single family home that contains 1,810 sq ft and was built in 1997. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $425,737. The Rent Zestimate for this home is $1,925/mo.",30.4507312774658,-97.6879806518555,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",1997,376,2019-10-07,"10",2019,1,"0",3,1,3,2,0,0,0,7710,1810,2.83333333333333,5.33333333333333,1348,14,2,3,1
"3404 Kissman Dr","78728","3404 Kissman Dr, Austin, TX 78728 is a single family home that contains 1,607 sq ft and was built in 1997. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $322,516. The Rent Zestimate for this home is $1,795/mo.",30.4582481384277,-97.6836471557617,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",1997,265,2018-12-08,"12",2018,20,"0",4,1,0,0,0,0,0,9801,1607,2.93333333333333,5.66666666666667,1431,14,2,3,1
"15321 Ozone Pl","78728","**Fully furnished** Move-in ready just bring your suitcase.

Relax and unwind in this spacious 2300-sqft 5-bedrooms home for family and friends. Enjoy the beautiful furnishings and open floor-plan, natural lights, and 2 living areas.

Perfect for work trips or temporary re-location while you're looking for a permanent home.

The place is fully furnished with lots of essential and entertainment amenities.

Benefits:
-Hop on I35 or Mopac for a short drive straight downtown 
-15-20 mins drive to key Austin areas Spacious with... 
-5 bedrooms -8 real beds &; mattresses (7 of the mattresses are memory foam) 
-2 common areas Everything you need & more.. 
-Fully-equipped kitchen 
-Modern board games 
-60"" TV &;32"" TV (each w/ Roku, Netflix & Hulu) 
-Clean sheets & towels 
-Washer & Dryer
-Near community Park & Pool

-Month-to-month rent (as long as you want)
-Utilities (gas, internet, water, electricity) already set up and is included.",30.4587211608887,-97.6879653930664,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1994,289,2018-03-15,"3",2018,20,"0",2,2,0,0,0,0,0,5749,2326,2.86666666666667,5.66666666666667,1431,14,2.5,5,2
"14917 Alpha Collier Dr","78728","Built-in 1983 Purchased in 1996 
11/2013 complete upgraded kitchen – granite countertop, sink, cabinets, and tile (kitchen, fireplace, entry way and hall).  Remodeled spare bathroom new cabinet granite countertop, tile and toilet.  
5/2014 added 8x10 building to backyard for storage. 
7/2014 added on a sunroom (156 sq foot) with 2 ceiling fans and a window unit.  
5/2017 complete upgrade of master bathroom to a large - tile and glass walk-in shower with a steamer machine, ungraded cabinets with granite countertop, toilet, and tile.  Removed master bedroom sliding glass door installed wall and wood door to access the sunroom.  Removed popcorn from master bedroom ceiling.  
7/2018 spray foam all exterior walls, install concrete Hardie board, and new roof.  
9/2018 Trex composite deck boards and sunshade canopy on back deck.  Added high lift garage door with wall mounted locking opener in order to accommodate the car lift, added new garage door opener for the other garage door.  
6/2020 partial cedar deck roof to cover hot tub and porch swing.  
8/2020 spray foam in attic rafters.  Now the entire house has spray foam.  
9/2020 new air conditioner and heater.  Total upgrade and remodeling $177600.
",30.4457931518555,-97.676513671875,1.98,2,"FALSE","TRUE","TRUE","TRUE","Single Family",1983,325,2020-12-14,"12",2020,33,"0",8,2,3,1,0,0,0,7405,1774,3.36666666666667,5.33333333333333,1348,14,2,3,1
"14907 Alpha Collier Dr","78728","Plantation shutters are throughout the house. The kitchen- Corian counters, a reverse osmosis system at the sink, newer disposal, and stainless appliances. Master bathroom- double vanity, newer toilet, tile flooring and floating cabinets. Guest bath- new cabinets, newer toilet, granite countertop and tile flooring. Home has a water softener as well as a whole house filtration water system and epoxy floor in garage. Windows, sliding doors and hardi siding replaced in 2016.",30.4458389282227,-97.6775207519531,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1983,295,2019-03-07,"3",2019,20,"0",7,1,0,0,0,0,0,7405,1605,3.36666666666667,5.33333333333333,1348,14,2,3,1
"15300 Ozone Pl","78728","Beautiful home in popular Willow Run.  Conveniently located between Loop 1 and I35, this fine home has everything you're looking for.  Laminate flooring throughout (no carpet), granite countertops, outdoor kitchen, hot tub and gazebo are just a few of the many special features in this home.  Walk to schools, parks, etc.",30.4582672119141,-97.6888809204102,1.98,2,"FALSE","TRUE","FALSE","TRUE","Single Family",1993,325,2018-02-16,"2",2018,18,"0",3,2,0,0,0,0,0,9583,2512,3,5.33333333333333,1348,14,3,4,2
"2009 Cervin Blvd","78728","Come check out this beautiful 3 bedroom 2 bathroom home in the highly desired neighborhood of Wells Branch. The special thing about this particular home is that it's backed up to the popular Katherine Fleisher Park. Features include vaulted ceilings, fresh interior paint, wood laminate flooring and tile (no carpet), large master bedroom downstairs, kitchen with ample counter top space, and an amazing backyard for entertaining. NO SHOWINGS UNTIL OPEN HOUSE ON SATURDAY, JANUARY 5TH.",30.4426422119141,-97.6770935058594,1.98,0,"TRUE","FALSE","FALSE","TRUE","Single Family",1985,299.9,2019-02-06,"2",2019,38,"0",4,1,0,0,0,0,0,7666,1395,1.33333333333333,2.66666666666667,1063,14,2,3,2
"14812 Single Trce","78728","This Austin one-story home offers stainless steel appliances, breakfast bar, master bathroom, backyard patio, and two-car garage. Upgraded features include fresh interior and exterior paint.

You can instantly unlock and tour this home any day of the week from 6am to 9pm, no appointment needed. Plus, every Opendoor home comes with a 30-day buyback guarantee. Terms and conditions apply.",30.449031829834,-97.6880035400391,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1995,278,2019-05-17,"5",2019,26,"0",0,1,0,0,0,0,0,6316,1328,2.8,5.33333333333333,1348,14,2,3,1
"2013 Cervin Blvd","78728","FABULOUS 4BR, 1-story home on iconic Hill Country treed lot backing to park w/trails, play area & pond in Wells Branch! Wood floors, soaring ceilings, open layout. Cozy living w/fireplace in Texas stone. Kitchen w/sleek white cabs w/handles, granite, gas cooking, pantry. Serene master w/vaulted ceiling & ensuite w/dbl sinks. All BRs w/neutral tones, ceiling fans. Utility w/addl shelves. Back w/views of the rolling hills just beyond the fence. Entertain on the raised deck w/pergola & built-in seating!",30.4427719116211,-97.6774291992188,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",1985,167.9,2019-02-26,"2",2019,37,"0",3,2,0,0,0,0,0,7056,1445,1.33333333333333,2.66666666666667,1063,14,2,4,1
"2027 Cervin Blvd","78728","Don't miss this RARE, highly desirable premium greenbelt property. Boasting the best sunset views in Wells Branch, sit back and enjoy your morning coffee while overlooking a spectacular park with 6 miles of hike/bike trails that are steps away from your backyard. Perfect for entertaining guests. Remodeled Master Bedroom/Bath, New Gas Heater and Energy Efficient AC. Vaulted ceilings w/beautiful views from all rooms. Minutes from I-35, Mopac, and the Domain. Zip downtown on the metro rail. Amazing Location!",30.4434471130371,-97.6784286499023,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",1983,299.5,2018-05-25,"5",2018,37,"0",6,2,0,0,0,0,1,6882,1445,3.26666666666667,5.33333333333333,1348,14,2,3,1
"3100 Feathercrest Dr","78728","3100 Feathercrest Dr, Austin, TX 78728 is a single family home that contains 1,808 sq ft and was built in 1995. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $374,449. The Rent Zestimate for this home is $1,900/mo.",30.4498538970947,-97.6873474121094,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1995,307,2018-06-19,"6",2018,28,"0",4,1,0,0,0,0,0,9191,1808,2.83333333333333,5.33333333333333,1348,14,3,4,2
"14710 Montoro Dr","78728","Lovely move in ready house within walking distance of all the trails and parks Wells Branch has to offer. Easy access to Mopac, the toll roads and I-35 . No carpet ! All appliances are less than a year old, all Whirlpool and Samsung stainless steel. Fridge and W/D convey to the buyer! Upgraded bathrooms, huge walk in closet, track lighting and more! . Entertain your guests in a very nice Pagoda. Very easy to maintain yard w landscaped lighting. Owners can vacate quick for a fast close.",30.4483394622803,-97.6897201538086,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1994,285,2019-10-08,"10",2019,39,"0",7,1,1,1,0,0,0,4950,1416,2.73333333333333,5.33333333333333,1348,14,2,3,1
"3305 Bratton Heights Dr","78728","3305 Bratton Heights Dr, Austin, TX 78728 is a single family home that contains 2,007 sq ft and was built in 1998. It contains 3 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $352,600. The Rent Zestimate for this home is $1,950/mo.",30.4603481292725,-97.6813735961914,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",1998,320,2019-07-30,"7",2019,1,"0",4,1,2,1,0,0,0,4791,2007,3.06666666666667,5.66666666666667,1431,14,3,3,2
"2009 Surrender Ave","78728","Extreme Home Makeover Steps from Park! Fresh paint inside & out including doors and trim. Luxury vinyl plank flooring & Tile, no carpet! No popcorn ceilings! LED lighting+fans. Kitchen: Stainless Steel appliances, granite counters, 42"" white cabinets, Under-counter lights, Bay window at Sink, Wine Rack & Breakfast bar. Master Bath: Vaulted Ceilings,Jetted tub, ceramic tile, Czech-style chandelier, 2 vanities, dual flush toilets, barn door entry, Pocket doors to WICloset. Open floorplan. Upstairs Loft/2nd Living opens to the living room. *Covered Porch w/ 2 Fans*Move-in ready. Big shaded yard & backyard access to trail*Pre-Inspected*Centex piered N. side @Kitchen in 2018*Elect/Plumbing Updates Done*Easy access to MoPac & I-35.",30.4410209655762,-97.6798934936523,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1985,325,2019-09-05,"9",2019,44,"0",7,1,1,0,0,0,0,8755,1897,1.23333333333333,2.66666666666667,1063,14,3,3,2
"14707 Noya Dr","78728","Multiple Offers Received.Please send best and final offer before 10am 10/26.  Fully Remodeled Gem in Bratton Park! This stunning single story has a brand new roof, HVAC, water heater and so much more. Property is turnkey ready with durable luxury vinyl plank flooring, updated baths, and lots of natural light. Bratton Park is minutes away from the Domain with easy access to Mopac.",30.4485702514648,-97.6904373168945,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1994,350,2020-12-25,"12",2020,26,"0",3,2,2,3,0,0,0,5488,1651,2.73333333333333,5.33333333333333,1348,14,2,3,1
"2103 Surrender Ave","78728","Charming home in HIGHLY desirable Wells Branch neighborhood. Walk out the back yard to enjoy the Katherine Fleischer greenbelt with running/biking/jogging trails, park, pool, tennis and volleyball courts, sports fields, shaded playgrounds, and picnic tables. Beautiful kitchen with marble counters and stainless steal appliances, remodeled master bathroom and walk in closet, fresh exterior paint. Backyard boasts a large deck, fire pit, raised garden beds, a sandbox, and lots of shade. Close to everything!",30.4405536651611,-97.6803512573242,1.98,2,"FALSE","TRUE","FALSE","TRUE","Single Family",1985,329.95,2020-07-28,"7",2020,39,"0",4,2,2,2,0,1,0,7230,1395,1.2,2.66666666666667,1063,14,3,3,2
"2115 Surrender Ave","78728","2115 Surrender Ave, Austin, TX 78728 is a single family home that contains 1,670 sq ft and was built in 1985. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $343,119. The Rent Zestimate for this home is $1,850/mo.",30.4398498535156,-97.6811599731445,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1985,145,2018-06-28,"6",2018,1,"0",7,2,0,0,0,0,0,6795,1670,1.16666666666667,2.66666666666667,1063,14,2,3,2
"2312 Spring Wagon Ln","78728","Well-maintained one-story home in Wells Branch! The private yard has a large deck and is xeriscaped with native Texas plants. Home has stainless steel appliances, updated lighting fixtures and no carpet! Conveniently located near two large parks, amazing walking trails, picnic areas, tennis, basketball courts, dog park & rec center.",30.4448757171631,-97.6827545166016,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1983,285,2019-08-12,"8",2019,11,"0",4,1,1,1,0,1,0,7492,1304,3,5.33333333333333,1348,14,2,3,1
"14804 Endicott Dr","78728","Triple Culdesac street, no thru traffic*Backs to easement, privacy*Well maintained and beautifully updated*Huge trees front and back*Automatic Sprinklers*Updated Hardiplank siding and paint*Recent Roof*Recent Complete HVAC system*4 beds and a gameroom*Wood, tile and carpet floors*Recent interior paint*Kitchen updated with solid surface tops*All baths updated with new tile surrounds and granite tops! This one is clean, priced right, vacant and ready for a quick close!",30.4474773406982,-97.6835784912109,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1985,359,2019-01-04,"1",2019,32,"0",5,2,0,0,0,0,0,7710,2246,3,5.33333333333333,1348,14,3,4,2
"7309 Ellaview Ln","78759","This Great Hills/Dominion 4;4+study has an exceptional floor plan which includes walls of windows, plantation shutters, vaulted ceilings, wine room, study and main level master. Upstairs includes three beds/2 baths, media room and a bonus ""hidden"" room. Nestled on a much desired cul-de-sac street on a large private lot. The backyard boasts two patios and a fire pit for entertaining. Served by award winning Laurel Mountain Elementary & Westwood HS/RRISD. Minutes to shopping, dining and major highways",30.4125366210938,-97.7751235961914,1.98,3,"TRUE","TRUE","FALSE","FALSE","Single Family",2000,775,2018-03-01,"3",2018,1,"0",3,2,0,0,0,0,0,15246,3694,1.53333333333333,9,1616,16,4,4,2
"7304 Sage Oak Trl","78759","Stunning, updated home in exemplary school district minutes to The Domain, Arboretum and major employers. Located on a large corner lot of a cul de sac, this home offers a spacious layout with bonus room that can be a guest suite or game room. Skylights bring in abundant natural light. Enjoy the private backyard with heated pool & spa  surrounded by large shade trees. The outdoor grill/fireplace make this yard perfect for entertaining. HVAC replaced in 2016. Move in ready, this home is a must see!",30.4193820953369,-97.7730560302734,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1984,629,2018-08-31,"8",2018,29,"0",4,1,0,0,0,0,0,14810.4,2763,1.3,8.33333333333333,1638,16,3,3,1
"11412 Charred Oak Dr","78759","This is a great on story four bedroom 2 bath home that is ready to updated to your style. Stone floor to ceiling fireplace. RRISD!! Oak Forest subdivision!! Covered patio. Large backyard with beautiful oaks trees. Storage shed conveys, two car garage.",30.4248046875,-97.7714004516602,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1981,400,2018-01-24,"1",2018,29,"0",3,1,0,0,0,0,0,12196.8,1900,1.23333333333333,8.33333333333333,1638,16,2,4,1
"6713 Rustling Oaks Trl","78759","6713 Rustling Oaks Trl, Austin, TX 78759 is a single family home that contains 1,929 sq ft and was built in 1975. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $460,690. The Rent Zestimate for this home is $2,299/mo.",30.4223709106445,-97.7641754150391,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1975,484.5,2020-08-07,"8",2020,37,"0",4,2,3,0,0,1,0,10890,1929,1.56666666666667,8.33333333333333,1638,16,2,3,1
"5805 Painted Valley Dr","78759","This charming one-story home sits on nearly half an acre wooded lot in desirable Great Hills neighborhood! From the front door, the home opens to the formal dining area and large living room with high ceilings and engineered wide plank wood floors. This space connects to the gorgeous island kitchen with granite counters and stainless steel appliances. Atrium doors lead to the huge deck and private backyard with two large red oaks and crepe myrtle. Relax in the master suite with dual vanity bath, walk-in closet and separate shower. Great storage space in the two-car garage and separate laundry room. Enjoy the beautiful rolling hills, an abundance of shopping and dining options nearby, as well as parks and trails, country club, playground and more. The home is conveniently located near two major highways, making it easy to access the rest of the city including downtown. Minutes from The Domain, Arboretum, Apple, Dell, IBM, Google, and many other major employers. This home is a must see!",30.4076995849609,-97.7605285644531,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1983,575,2020-02-05,"2",2020,10,"0",4,1,1,1,0,2,0,20473.2,2354,2.46666666666667,7,1523,17,2,4,1
"7501 Fireoak Dr","78759","7501 Fireoak Dr, Austin, TX 78759 is a single family home that contains 3,892 sq ft and was built in 1994. It contains 5 bedrooms and 4 bathrooms. 
 
The Zestimate for this house is $879,161. The Rent Zestimate for this home is $2,750/mo.",30.4195594787598,-97.7741622924805,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1994,825,2020-07-06,"7",2020,1,"0",4,2,0,0,0,0,0,12632.4,3892,1.3,8.33333333333333,1638,16,4,5,2
"7400 Rain Creek Pkwy","78759","Stunner! Recent transformation ready for immediate move in. Check out this rare one-story gem in highly desirable Great Hills. High-end design choices that include bamboo wood floors, champagne bronze fixtures, marble tile & quartz counter tops. You'll love your brand new kitchen that opens to the living room with a large center island, built in oven and microwave, gas cook-top, brand new soft-close cabinets, & quartz countertops. The master shower is to die for, bringing you luxury, elegance, & functionality. Extend the party to your outdoor living space that offers no one behind you - just a serene wooded view sure to bring you peace & relaxation.  This home is nestled in a superb location with rolling hill views, golf course, perfect for walking/jogging, and close to tons of shopping and restaurants like the Arboretum. Acclaimed Round Rock School District with an Austin address.  Start thinking about that housewarming party and come and get me!!!",30.4174652099609,-97.7742614746094,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1992,510,2018-06-07,"6",2018,36,"0",3,1,0,0,0,0,0,11325.6,2066,1.36666666666667,8.33333333333333,1638,16,2,4,1
"1901 Maize Bend Dr","78727","Quarantined?  You deserve to be isolated in comfort. Beautiful spacious home in an amazingly convenient neighborhood, not that you're going anywhere.  Gorgeous kitchen with stainless steel appliances, granite countertops, breakfast bar & center island. Open floor plan with cozy fireplace.  Need a little space from the family, exile them to the spacious upstairs game room.  Stunning master bathroom to wash off those nasty germs.  Full sprinkler & large yard to maintain 6 feet of distance from others.",30.4275455474854,-97.6798706054688,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",2002,399.9,2020-05-15,"5",2020,19,"0",4,2,1,1,0,0,0,6577,2239,0.866666666666667,4.33333333333333,1053,13,3,3,2
"1909 Maize Bend Dr","78727","Open house will be July 1st. Wonderfully remodeled home in Scofield Farms. Solar Panels are owned, makes electric service negligible. 2LIV (includes separate office), 2DIN, 2 car garage. Full sprinkler system. Mature trees, open floor plan. Porcelain tile flooring, stainless appliances, coffered ceilings, crown molding, jetted tub, covered patio, solar screens, corner gas fireplace, breakfast bar, island.",30.4272422790527,-97.680061340332,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2002,355,2018-09-06,"9",2018,27,"0",4,1,0,0,0,0,0,6686,2100,0.866666666666667,4.33333333333333,1053,13,2,3,1
"12701 Rampart St","78727","Original owner*Excellent condition, move-in ready*Complete interior repainted (removed popcorn ceilings) including cabinets, Recent roof and complete HVAC system*updated flooring through out*New hardware*updated fixtures & 5 ceiling fans*cov patio and wood deck*Backs to elementary school=private backyard*Large family rm with stone fireplace*Water softener*Garage door opener*sec system*prog thermostat*Great master suite with 2 walk-in closets*Super convenient location=walk to schools,major roads,shopping.",30.4173393249512,-97.6910552978516,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1982,275,2018-06-26,"6",2018,33,"0",3,1,0,0,0,0,0,7274,1433,0.4,4.33333333333333,1053,13,2,3,1
"1604 Maize Bend Dr","78727","Meticulously maintained 3/2 home on beautiful lot! Located within a quiet neighborhood, this home boasts tons of natural light. Beautiful upgraded wood floors.  Enjoy the open concept floor plan with lots of counter space in the kitchen - perfect for cooking Holiday meals!  Gorgeous backyard with huge tree and is roomy enough for a pool. Convenient to everything! 10 minutes from The Domain. Must see!",30.4253025054932,-97.6799087524414,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",2002,190,2019-07-26,"7",2019,25,"0",5,2,1,1,0,0,0,5749,1718,0.766666666666667,4.33333333333333,1053,13,2,3,1
"1509 Braided Rope Dr","78727","Neighborhood association, covenants",30.4117851257324,-97.6851959228516,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",1993,355,2018-06-08,"6",2018,37,"0",4,1,0,0,0,0,0,8407,2272,0.5,4.33333333333333,1053,13,2,3,1
"13535 Wyoming Valley Dr","78727","Wonderfully upgraded David Weekley ""Overland"" plan, featuring extensive stone patio with pergola. Upgrades include central vacuum system, surround sound with speakers, 50 gallon water heater, fixtures, hardware and more! Main level master, fireplace in living room, open floor plan, vaulted ceilings, a true Scofield gem!",30.4251651763916,-97.6789474487305,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2001,340,2018-09-19,"9",2018,42,"0",1,1,0,0,0,0,0,9060,2480,0.766666666666667,4.33333333333333,1053,13,3,3,2
"1911 Creole Dr","78727","Spacious and well-maintained New Mark home in desirable Scofield farms area. Formal living & Dining. Large kitchen with a walk-in pantry, lots of cabinets, and a breakfast area that is overlooking the backyard and opens to the family room. Upstairs secluded game room/loft with an office study space. Lots of natural light. Oversized master bedroom with tray ceiling, bathtub & separate shower, and walking closet. All secondary bedrooms are a good size with large windows. The large private backyard is hard to find these days. Ideal location minutes to the Domain, Mopac, I35, Metro Rail, Apple campus, GM, IBM & Samsung.",30.425838470459,-97.6858978271484,1.98,4,"TRUE","TRUE","TRUE","FALSE","Single Family",1999,435,2020-12-17,"12",2020,40,"0",4,2,1,2,0,0,0,9147,2808,0.733333333333333,4.33333333333333,1053,13,3,4,2
"1909 Scofield Ln","78727","Great home for rent in the Scofield Farms neighborhood. Wood floors in common areas on main floor. Three Bedrooms with Two full bathrooms. The Master is HUGE and located upstairs. One large walk in closet, and another small closet located in master. Two smaller bedrooms and one bathroom located on main floor. Ceiling Fans in all bedrooms as well as living room! Kitchen has upgraded stainless steel appliances, gas stove, and a pantry. Great backyard with large shade tree and covered porch. Storage shed in the backyard provides plenty of extra storage space. Two car garage with extra shelving for storage. Full size washer and dryer included, as well as a lawn mower and edger for maintaining the lawn. Available as early as Nov 1st .Showings scheduled through current tenant, Emails preferred to schedule tour. Rent Criteria: Credit (Score of 650+) and Criminal Background Check are run on every occupant over the age of 18. Gross Household Income must be 2.5 times the rent amount. Security Deposit of $1550 required to hold the house.",30.4191513061523,-97.6909637451172,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1982,114.9,2018-02-16,"2",2018,30,"0",6,3,0,0,0,0,0,6969,1384,0.466666666666667,4.33333333333333,1053,13,2,3,2
"13008 Irongate Cir","78727","13008 Irongate Cir, Austin, TX 78727 is a single family home that contains 1,182 sq ft and was built in 1977. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $330,429. The Rent Zestimate for this home is $1,650/mo.",30.4243183135986,-97.6927795410156,1.98,0,"FALSE","FALSE","FALSE","FALSE","Single Family",1977,295,2020-03-16,"3",2020,1,"0",2,2,0,0,0,0,0,8276,1182,0.733333333333333,4.33333333333333,1053,13,2,3,1
"1724 Maize Bend Dr","78727","Beautifully lit home: Sweeping wall of windows in vaulted greatroom~Shining Brazilian Hardwoods~Newer tile in entry/formal dining~Open floorplan~Expansive kitchen: tons of counter & cabinet (42 inch) space~Center Island, Stainless Steel  Appliances~Tasteful Countertops~Sprinkler System~ Larger backyard~Carpet only upstairs & study~Downstairs bonus room could be guest, playroom or study~Updated light fixures~Upstairs gameroom~Master spa:jetted tub, double vanities & separate shower~Huge closet in master.",30.4272499084473,-97.6808929443359,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",2002,409,2020-07-02,"7",2020,41,"0",2,2,0,0,0,0,0,5749,2319,0.833333333333333,4.33333333333333,1053,13,3,3,2
"12317 Cedar Bend Cv","78758","Elegantly appointed custom built home sits in a quiet pocket community on a cul-de-sac with no neighbor behind! This open floor plan offers 3 BR + office, 2.5 BA, 2 living & 2 dining. Features include curved staircase, high ceilings, wood-look tile floors throughout first floor, spacious kitchen with tons of cabinets & wood burning fireplace. Private back yard has an extended covered patio & plenty of room for a pool. Awesome location just minutes from the Domain & major employers! HOA not active yet.",30.4082279205322,-97.6901550292969,1.98,4,"TRUE","TRUE","TRUE","TRUE","Single Family",2014,579,2020-12-01,"12",2020,80,"0",3,2,3,3,0,0,0,7492,2511,3.86666666666667,5.33333333333333,1236,13,3,3,2
"13009 Broughton Way","78727","All new flooring. Tile throughout the living area, hallways, kitchen, dining area, and bathrooms. Fully remodeled kitchen with granite countertops and modern features. Huge master retreat with a fireplace. Converted garage is private studio apartment which has a bedroom, living room and flex space.",30.4238319396973,-97.6935195922852,1.98,2,"FALSE","TRUE","FALSE","TRUE","Single Family",1986,139,2018-07-21,"7",2018,30,"0",6,2,0,0,0,0,0,7927,2197,4.1,6.66666666666667,1486,15,2,3,1
